Name,Category,Bio,Aliases,Flights,Documents,Connections,In Black Book,Nationality
Jennie Saunders,associate,"Individual whose name appears in telephone message logs recovered from Epstein offices, showing calls placed to Epstein staff. The logs record attempts to reach Epstein, consistent with the volume of incoming correspondence documented across the case files.",,0,2223,1,No,
"Jordana (""Jordy"") H. Feldman",associate,Independent administrator of the Epstein Victims' Compensation Program and proposed movant.,Feldman; Jordana Feldman,0,13,1,No,
Joseph Recarey,legal,Lead Palm Beach detective on the Epstein case; deceased.,Joe Recarey,0,341,1,No,American
Josh Harris,business,Apollo co-founder and NFL/NBA owner; business emails with Epstein (2013-2016),Joshua J. Harris,0,574,1,No,American
Kathryn Ruemmler,legal,"Obama White House Counsel (2011-2014) and Goldman Sachs CLO (2020-2026); resigned Feb 2026 after EFTA files confirmed she received gifts from Epstein, was named successor executor in his 2019 will, and actively lobbied on his behalf.",Kathy Ruemmler,0,9257,1,No,American
Kenneth R. Feinberg,associate,Co-Designer of the EVCP.,Feinberg; Kenneth Feinberg; Ken R. Feinberg,0,96,1,No,
Kenneth Starr,legal,Former Solicitor General; Epstein defense attorney who lobbied DOJ on plea deal.,Ken Starr,0,1467,1,No,American
Kimbal Musk,business,"Canadian-American entrepreneur, restaurateur, and philanthropist, younger brother of Elon Musk. Co-founder of The Kitchen restaurant group and founder of Big Green, a nonprofit focused on school gardens and food education. Kimbal Musk appears in documents associated with the broader Epstein network context given his family connection and shared business and social circles with individuals named in Epstein's records.",,0,296,1,No,
Mark Tramo,academic,UCLA neurologist who received $100K from Epstein and shared student info.,Mark Jude Tramo,0,1448,1,No,American
Michael E. Horowitz,associate,DOJ Inspector General.,Horowitz; Michael Horowitz; Mike E. Horowitz,0,228,1,No,
Michael Wolff,other,"Journalist and author of ""Fire and Fury""; used Epstein as a source on Trump; recorded roughly 100 hours of interviews with Epstein over several years.",Mike Wolff,0,6037,1,Yes,American
Nathan Wolfe,academic,Stanford virologist who proposed Epstein fund sexual behavior study.,Nathan Daniel Wolfe,0,894,1,No,American
Nicholas Tartaglione,other,Epstein's MCC cellmate during July 2019 neck injury incident; convicted murderer.,Nick Tartaglione,0,137,1,No,American
Oliver Sacks,academic,Neurologist and bestselling author; attended Epstein's science dinner parties (deceased),Oliver Wolf Sacks,0,119,1,Yes,British-American
Paul Cassell,legal,Former federal judge and law professor; represented Epstein's victims in landmark CVRA lawsuit.,,0,917,1,No,
Peter Skinner,associate,Attorney at Boies Schiller representing Virginia Roberts.,Pete Skinner,0,70,1,No,
Peter Thiel,business,Palantir co-founder with documented multi-year relationship with Epstein; dietary requirements sent to island staff for his visits; Epstein referenced Palantir as job option for Ehud Barak in recorded conversation.,Pete Thiel,0,2787,1,Yes,American
Potential Defense Witnesses,associate,Witnesses who may testify on behalf of the defendant.,Witnesses; Potential Witnesses,0,230,1,No,
Randy Kim,associate,Partner of the witness in the San Francisco office.,,1,11,1,No,
Reid Weingarten,legal,Washington D.C. defense attorney at Steptoe and Johnson; represented Epstein in the 2007-2008 plea negotiations that produced the non-prosecution agreement.,,0,1402,1,Yes,American
Richard Branson,business,Virgin Group founder who hosted Epstein on Necker Island twice in 2013 and exchanged emails with him; hundreds of mentions in DOJ files.,Sir Richard Charles Nicholas Branson; Dick Branson; Rick Branson,0,1079,1,Yes,British
Robert Trivers,academic,Evolutionary biologist who received Epstein research funding.,Bob Trivers; Rob Trivers,0,648,1,No,American
Roy Black,legal,"Legendary Miami criminal defense attorney who represented Jeffrey Epstein in the 2006 Florida case, helping secure a plea deal to lesser state charges instead of federal sex trafficking prosecution. Died July 2025.",,0,1992,1,No,American
Sebastian Kurz,politician,Former Austrian chancellor; Epstein tried to arrange meeting with Steve Bannon.,Kurz; Kurtz,0,11,1,No,Austrian
Seth Lloyd,academic,MIT quantum computing professor who accepted 25K from Epstein including undisclosed post-conviction donations; placed on leave 2020.,,0,1585,1,No,American
Stanley Pottinger,associate,"Sender of email to Amanda Kramer, potentially an attorney or investigator.",,0,174,1,No,
Stephen Kosslyn,academic,Harvard psych dean who received $200K and sought fellowship for Epstein.,,0,1049,1,No,American
Steve Scully,associate,Pilot of Epstein's private aircraft.,Steve Scully (pilot); Steven Scully,0,24,1,Yes,American
Stuart Hameroff,academic,American anesthesiologist and professor.,,0,173,1,No,
TODD BLANCHE,associate,Deputy Attorney General (unrelated to the main content),,0,96,1,No,
Tancredi Marchiolo,associate,London-based financier and partner at Bremner Capital Management. Exchanged personal emails with Epstein from 2012-20...,,0,1539,1,No,
Tatum Miller,associate,Epstein recruiter who admitted to recruiting ~30 girls; granted DOJ immunity under Operation Leap Year,Michelle L. Healy; Michelle Healy; Tatum,0,93,1,No,American
Wallace Cunningham,other,"American architectural designer, flew to Epstein's island.",,0,129,1,No,
(b) (7) (E),associate,Referring Officer and inspecting officer (identities redacted),(b) (E),0,71,0,No,
A. Marie Villapania,associate,Assistant U.S. Attorney.,Villapania; A. Villapania,0,27,0,No,
AD Thompson,associate,Authority to finalize response to media inquiry.,,0,197,0,No,
ANDREW ROHRBACH,associate,Assistant United States Attorney.,Andy ROHRBACH; Drew ROHRBACH,0,148,0,No,
Abbe David Lowell,associate,Counsel for National Association of Criminal Defense Lawyers (NACDL),Lowell; Abbe Lowell,0,25,0,No,
Abigail Wexner,socialite,Wife of Les Wexner; director of Wexner Family Charitable Fund ($140.7M); trustee of Wexner Foundation.,,0,772,0,No,American
Ada Clapp,business,Deutsche Bank contact who handled loan arrangements to Leon Black on behalf of Epstein entities.,,0,522,0,No,
Adam Back,business,Blockstream CEO; Epstein invested $500K in 2014 seed round through Joi Ito vehicle.,Andy Back,0,9409,0,No,British
Adam Bly,academic,"Seed magazine founder; Epstein invested M in Seed Media Group in 2005; Maxwell held board position; 2,291 file mentions.",,0,2291,0,No,Canadian
Adam Hollander,associate,Recipient of an email from William Kermode.,,0,7,0,No,
Adam Johnson,associate,BOP representative,,0,277,0,No,
Adam Schiff,politician,California Senator; on DOJ 305 list; mentioned in news clippings within files.,Schiff,0,70,0,No,American
Adam Shand Kydd,socialite,Socialite listed in Epstein's black book.,Adam Kydd,0,0,0,Yes,British
Adam Wyden,business,Fund manager; investment fund documents and correspondence referenced in Epstein files.,,0,37,0,No,
Adnan Khashoggi,business,Saudi arms dealer listed in Epstein's black book; deceased.,,0,10,0,Yes,Saudi
Adriel Bettelheim,other,Journalist listed in Epstein's black book.,,0,1,0,Yes,American
Aerin Lauder,business,Estee Lauder executive; 3 black book numbers; NYC socialite circle overlap.,,0,34,0,Yes,American
Ahmed Assed,associate,Attorney,,0,7,0,No,
Ahmet Mucahid Oren,business,CEO of Ihlas Holding; appears in EFTA02333148.,Ahmet M. Oren; Ahmet Mücahid Ören,0,1,0,No,
Al Gore,politician,Former VP; 2 black book numbers; Giuffre testified meeting him at dinner; no wrongdoing alleged in any filing.,Albert Arnold Gore Jr.; Alan Gore,0,997,0,Yes,American
Al Iudicello,business,CEO of International Government Properties; pitched Pentagon Center deal to Epstein.,Alan Iudicello,0,0,0,No,American
Alan Dlugash,business,New York CPA recommended by Epstein as tax advisor; direct email correspondence in DOJ files.,Alan J. Dlugash; A. Dlugash,0,505,0,No,
Alan Greenspan,associate,Chairman Federal Reserve Board.,Al Greenspan,0,70,0,No,
Alan Grubman,legal,Entertainment attorney listed in Epstein's black book.,Allen Grubman; Al Grubman,0,75,0,Yes,American
Alan Stone,academic,Harvard Law and Psychiatry professor who served on the advisory board of the Jeffrey Epstein VI Foundation.,Al Stone,0,425,0,No,American
Alan Stopeck,associate,Landscape designer,Al Stopeck,0,17,0,No,
Alan Turner,legal,Cayman Islands attorney serving on boards of Epstein-linked entities since 1988.,,0,63,0,No,
Alastair Campbell,politician,Blair's press secretary; 1 black book number (Downing St switchboard); met Epstein once via Maxwell.,Alistar Cambell,0,29,0,Yes,British
Albert Bryan Jr.,politician,USVI Governor; fired AG four days after JPMorgan Epstein lawsuit; pressured AG on Epstein per FBI memo.,Albert Jr.; Albert Bryan,0,76,0,No,American
Alberto Mugrabi,business,Art collector listed in Epstein's black book.,,0,2,0,Yes,American
Alberto Vilar,business,Investor listed in Epstein's black book.,,0,4,0,Yes,Cuban-American
Alec Baldwin,celebrity,Actor; listed in Epstein's black book with 4 phone numbers; named in December 2025 and February 2026 DOJ document releases; denied knowing Epstein; no wrongdoing alleged.,Alexander Rae Baldwin III,0,149,0,Yes,American
Alejandra Villarreal,socialite,Social contact listed in Epstein's black book.,,0,1,0,Yes,Mexican
Alesia Riabenkova,other,Found girls for Epstein.,,0,8,0,No,
Alex Jones,celebrity,InfoWars host; on DOJ 305 list alongside deceased celebrities and transparency-law sponsors; not a misconduct list; no allegations.,Jones; Alexander Jones,0,27,0,No,American
Alex Soros,business,George Soros's son; Open Society Foundations chairman; on DOJ 305 list.,Alexander Soros,0,189,0,No,American
Alexander Litvinenko,military-intelligence,Former KGB officer murdered by Russian agents in London 2006; mentioned in Epstein intelligence-related documents.,,0,15,0,No,
Alexandria Ocasio-Cortez,politician,NY Congresswoman; on DOJ 305 list via activism news clippings; critic of DOJ handling.,AOC; Ocasio-Cortez; Alexandria Ocasio; Alexandria Cortez,0,27,0,No,American
Alfred Taubman,business,Real estate developer listed in Epstein's black book; deceased.,,0,39,0,Yes,American
Alice Fisher,associate,Assistant Attorney General for the Criminal Division during the relevant period.,,0,89,0,No,
Alice Jacobs,business,IntelligenceBank CEO; Epstein business contact and friend.,,0,239,0,No,American
Alison Nathan,legal,Federal judge who presided over Maxwell trial; sentenced her to 20 years.,,0,1218,0,No,American
Alix de Ligne,socialite,Belgian princess listed in Epstein's black book.,Princess Alix de Ligne; Ligne; Alix Ligne,0,3,0,Yes,Belgian
Aly Raisman,celebrity,Olympic gymnast; mentioned in Epstein files in media context.,Alexandra Raisman,0,0,0,No,
Alyssa Milano,celebrity,Actress and #MeToo activist; named on DOJ's February 2026 list of 305 politically exposed persons in Epstein files.,Milano,0,42,0,No,American
Amanda Kirby,business,"Deutsche Bank Associate; serviced Epstein's accounts including KYC, wires, and Butterfly Trust (2013-2016)",,0,7332,0,No,
Amanda Thirsk,associate,Prince Andrew's private secretary who arranged the BBC Newsnight interview,,0,87,0,No,British
Amir Taaki,business,Early Bitcoin developer contacted directly by Epstein in 2011.,,0,48,0,No,British-Iranian
Amy Sacco,socialite,American club owner and socialite.,,0,77,0,No,
Amy Schumer,celebrity,Comedian; cousin of Sen. Chuck Schumer; on DOJ 305 list; likely cited in media content within files; no direct connection.,Schumer,0,18,0,No,American
Amy Stursberg,business,CEO of Schwarzman Education Foundation; dual compensation $4.35M+ across two Schwarzman entities (2020-2023),,0,1,0,No,American
Ana Rogic,associate,Received FedEx packages from Epstein; named in 4 EFTA documents.,,0,4,0,No,
Andre Matevousian,associate,"Recipient of the original email, potentially a high-ranking BOP official.",,0,6,0,No,
Andrea K. Johnstone,associate,United States Magistrate Judge.,Johnstone; Andrea Johnstone,0,20,0,No,
Andres Serrano,celebrity,American photographer known for Piss Christ; had direct email exchanges with Jeffrey Epstein found in released case files,,0,444,0,No,American
Andrew FLINKELMAN,associate,Liaison Magistrate at the Embassy of the United States of America in Paris.,Andy FLINKELMAN; Drew FLINKELMAN,0,9,0,No,
Andrew Gallivan,business,"Managing Director at Deutsche Bank, US Private Wealth Management / Trust division. In the management chain above the bankers who serviced Epstein's accounts. Received internal memos detailing client portfolios that included Epstein entities alongside Leon Black and other high-profile clients.",,0,3,0,No,American
Andrew Johnson,business,"Director of Circumference, a fund administration company referenced in Epstein entity structures.",,0,69,0,No,
Andrew Lourie,associate,Assistant United States Attorney.,Andy Lourie; Drew Lourie,0,62,0,No,
Andrew Luster,associate,Max Factor heir listed in Epstein's black book; separately convicted.,Andy Luster; Drew Luster,0,6,0,Yes,American
Andrew McAfee,academic,MIT researcher and author. Referenced in EFTA01015086 email correspondence.,Andy McAfee; Drew McAfee,0,12,0,No,American
Andrew Oosterbaan,associate,Chief of CEOS during the relevant period.,Andy Oosterbaan; Drew Oosterbaan,0,28,0,No,
Andrew Stein,politician,Former NYC Council President; listed in Epstein's black book with 3 numbers; 845 document mentions; convicted of tax fraud (2010); Epstein emailed Maxwell about his indictment; no abuse allegations.,Andrew Stein (NYC); Andy Stein; Drew Stein,0,845,0,Yes,American
André Balazs,other,Celebrity hotelier,,0,4,0,No,
Andy Biggs,politician,U.S. Representative,Andrew Biggs,0,10,0,No,
Andy Dios,associate,"Legal Compliance Agent, Law Enforcement Relations at T-Mobile USA.",Andrew Dios,0,32,0,No,
Anita De Domenico,associate,Santa Fe Businesswoman.,Domenico; Anita Domenico,0,5,0,No,
Ann Rodriguez,associate,Island manager and household assistant at Epstein's Virgin Islands properties.,Ann Rodriquez,0,931,0,No,
Ann Wojcicki,business,American entrepreneur and former CEO of 23andMe.,,0,104,0,No,
Anna Miller,other,Woman who attended a dinner with Epstein and Woody Allen as a guest of Steve Bannon.,,0,13,0,No,American
Anna Wintour,other,Vogue editor listed in Epstein's black book.,Dame Anna Wintour,0,87,0,Yes,British-American
Annabelle Neilson,socialite,British socialite; Alexander McQueen confidante; Epstein circle via Lyndon Lea.,,0,291,0,No,British
Anthony Correra,business,President of Sandia Asset Management and donor.,Tony Correra,0,3,0,No,
Anthony Scaramucci,politician,SkyBridge founder; met Epstein once; Epstein email notes he tried to use Epstein as back-channel to Bannon.,Tony Scaramucci,0,56,0,No,
Antoine Verglas,other,French-born New York fashion photographer based in SoHo who corresponded regularly with Epstein. An email he sent to Epstein discussed a drug said to eliminate free will and block memory. He also introduced his son Julien to Epstein and assisted with visa documentation for one of Epstein's associates.,,0,705,0,No,
Antonio Damasio,academic,USC neuroscientist who requested Epstein research funding in 2013.,Antonio Rosa Damasio,0,97,0,No,Portuguese-American
Antonio Villaraigosa,associate,"Recipient of donations, likely a political candidate.",,0,27,0,No,
Antony Blinken,politician,Former Secretary of State; on DOJ 305 list; likely mentioned in news clippings.,Blinken,0,14,0,No,American
Ari Ben-Menashe,military-intelligence,Former Israeli military intelligence officer who claims he introduced Epstein to Robert Maxwell in the 1980s and that Epstein subsequently ran a Mossad honeytrap operation against powerful global figures.,Ari Ben; Ari Menashe,0,0,0,No,Israeli
Ariane Dwyer,business,"Financial advisor who sent trade ideas and valuations directly to Epstein; cc'd with Daniel Sabba, Stewart Oldfield, Richard Kahn.",,0,512,0,No,
Ariel Stoddard,associate,Paralegal on the case.,,0,5,0,No,
Arline M. Toylo,other,Mentioned in Epstein's will.,Toylo; Arline Toylo,0,21,0,No,
Arnold J. Rael,associate,Horse racing steward,Arnold Rael,0,8,0,No,
Arnold Paul Prosperi,legal,Disbarred attorney; Clinton classmate; 20+ Epstein jail visits; sentence commuted by Clinton.,Arnold Prosperi; Prosperi,0,2,0,No,American
Arpad Busson,business,EIM Group founder; in Epstein black book; ARK charity chair; relationships with Elle Macpherson and Uma Thurman.,,0,4,0,Yes,French
Arthur Casas,business,"Brazilian architect who proposed $4.3M renovation of Epstein Great St. James island (2016, halted)",,0,412,0,No,Brazilian
Arthur Schwartz,other,Political consultant; alleged Israeli intelligence source per FBI 302.,,0,62,0,No,American
Arthur Tendler,business,Deutsche Bank Trust custody officer who processed Epstein wire transfers; bank fined $150M in 2020.,,0,882,0,No,
Arun Nanda,legal,Indian businessman and lawyer; Epstein associate in legal and business dealings.,,0,41,0,No,
"Ash, Lorinda",associate,Person mentioned in a comment on the MySpace page.,,0,35,0,No,
Ashley Davis,associate,Profile owner or featured individual.,,0,11,0,No,
Ashley Hull,associate,Twin sister of Lesley Groff (Epstein's executive assistant). Appears in 217+ EFTA documents.,Ashley Taylor; Ashley Hull Taylor,0,335,0,No,American
Associate Warden 1,associate,Senior official at MCC New York who assisted SIS Lieutenant.,Associate 1,0,588,0,No,
Autumn Allen,associate,Detective who was notified about the missing juvenile.,,0,22,0,No,
Avi Wigderson,academic,Turing Award-winning mathematician; Epstein seminar participant.,,0,3,0,No,Israeli
Aziza Alahmadi,associate,"Frequent visitor to Epstein's New York residence who appears in 1,580 documents; sent flowers and gifts, received salon appointments arranged by Epstein's staff.",Aziza,0,1580,0,No,Emirati
BENHAM OPR/DAVID,associate,Caller/Reporter,,0,3,0,No,
Barack Obama,politician,44th U.S. President; no direct Epstein ties in any released files; appears only in unrelated 2007 Senate letter found in Epstein papers.,Barack Hussein Obama II,0,1436,0,No,American
Barbara Burns,associate,State Attorney's Office representative.,Barbara J. Burns; Burns,0,162,0,No,
Barbra Streisand,celebrity,Singer/actress; on DOJ 305 list of names appearing in released files; no direct Epstein connection reported.,Streisand,0,50,0,No,American
Barbro Ehnbom,business,Founder of BBB mentoring network; connected young Swedish women to Epstein.,Barbro C. Ehnbom; Barbro C Ehnbom; Barbro Ehrnbom,0,1421,0,No,Swedish
Baron Jean de Gunzburg,socialite,French aristocrat listed in Epstein's black book.,Gunzburg; Jean de Gunzburg,0,1,0,Yes,French
Barry Cohen,business,Apollo Global executive; co-executor of Leon Black's estate; trustee of Black's APO 1 GRAT ($28M+),,0,2294,0,No,American
Barry Diller,business,Media executive listed in Epstein's black book.,,0,148,0,Yes,American
Barry H. Berke,legal,Top defense attorney; named in EFTA legal documents.,Barry Berke; Berke,0,11,0,No,American
Barry Krischer,legal,Former Palm Beach State Attorney criticized for handling of Epstein case.,,0,415,0,No,American
Bascoe Hague,associate,Epstein's Little St. James island staff member,,0,0,0,Yes,Unknown
Basillia Morales-Mercado,associate,Head housekeeper at LSJ.,Basillia Morales; Basillia Mercado,0,33,0,No,
Bebe Avdiu,associate,"Legal assistant to Epstein lawyer Darren Indyke; appears in 4,558 EFTA documents; coordinated legal, financial, and household logistics on Epstein's behalf.",,0,4834,0,No,
Beef Knuckles,associate,Friend or acquaintance of the profile owner.,,0,26,0,No,
Ben Stiller,celebrity,Actor and filmmaker; 2 numbers in Epstein's black book; mentioned in 2024 unsealed Maxwell documents; no allegations.,Benjamin Edward Meara Stiller; Benjamin Stiller,0,36,0,Yes,American
Benjamin Netanyahu,politician,Israeli Prime Minister; appears in 515 Epstein documents primarily as political context; Epstein's ties to rival Ehud Barak created political complications; disputed Mossad claims in 2026 FBI memo.,Netanyahu; Bibi; Ben Netanyahu,0,517,0,No,Israeli
Benjamin Wegg-Prosser,business,Global Counsel CEO; met Epstein post-conviction to discuss business plan; resigned Feb 2026.,Ben Wegg-Prosser; Benjamin Wegg; Benjamin Prosser,0,54,0,No,British
Bennett L. Gershman,associate,Expert witness,Gershman; Bennett Gershman,0,15,0,No,
Bernard Arnault,business,"LVMH chairman; Epstein claimed ""very close mutual friends"" in 2018 Bannon iMessage; black book (4 phones)",,0,20,0,Yes,French
Bernard L. Schwartz,associate,CEO,Schwartz; Bernard Schwartz,0,60,0,No,
Bernard Madoff,associate,Convicted financier who asked President Trump to reduce his prison sentence.,,0,105,0,No,
Bernard Rapoport,associate,Philanthropist,,0,8,0,No,
Bernie Ecclestone,business,Former Formula One chief listed in Epstein's black book.,Bernard Charles Ecclestone,0,6,0,Yes,British
Bernie Steinberg,academic,Former Harvard Hillel director who solicited Epstein donations post-conviction.,Bernard Steinberg,0,12,0,No,American
Bert Sakmann,academic,German physiologist and 1991 Nobel laureate; met with Epstein at Max Planck Institute.,,0,3,0,No,German
Beyonce,celebrity,Music icon; on DOJ 305 list; husband Jay-Z named in separate unverified 2019 FBI tip; no direct Epstein connection reported.,Beyonce Knowles; Beyonce Knowles-Carter,0,0,0,No,American
Bill Berkman,business,New York businessman,William Berkman,0,36,0,No,
Bill Cosby,associate,comparator high-profile defendant.,William Cosby,0,159,0,No,
Billy Barou,associate,Commenter on a social media profile.,,0,3,0,No,
Billy Dimauro,associate,Likely Epstein co-pilot; appeared on 2 flights in 2013.,,2,15,0,No,
Billy G. Smith,associate,Horseman/taxi service owner.,Smith; Billy Smith,0,3,0,No,
Blaine Trump,socialite,"American socialite and philanthropist, former wife of Robert Trump, making her Donald Trump's ex-sister-in-law. Listed in Jeffrey Epstein's contact black book. Blaine Trump was active in New York charity circles and high-society philanthropy throughout the 1990s and 2000s, a world that overlapped with Jeffrey Epstein and Ghislaine Maxwell's social network. She and Robert Trump divorced in 2008 after more than 20 years of marriage.",,0,282,0,Yes,American
Bob Colacello,other,Journalist and author listed in Epstein's black book.,Robert Colacello,0,38,0,Yes,American
Bob Denham,legal,Attorney listed in Epstein's black book.,Robert Denham,0,12,0,Yes,American
Bob Weinstein,business,Film producer; 4 black book numbers; brother of Harvey Weinstein; no Epstein-related allegations.,Robert Weinstein,0,256,0,Yes,American
Bob Wright,business,Former NBC Universal CEO listed in Epstein's black book.,Robert Charles Wright; Robert Wright,0,40,0,Yes,American
Bobby Slayton,celebrity,"American stand-up comedian; listed in Epstein's black book and documented in scheduling emails for visits to Epstein's Manhattan home; attended dinners with Epstein, Woody Allen, and Soon-Yi Previn.",Robert Slayton,0,532,0,Yes,American
Bojana Banjac,person-of-interest,,,0,15,0,No,
Bono,celebrity,"U2 vocalist; listed in black book; referenced in files via philanthropy work, a Mick Jagger anecdote, and Broadway musical; no allegations.",Paul David Hewson,0,0,0,Yes,Irish
Borge Brende,business,World Economic Forum CEO under investigation for Epstein dinners.,Børge Brende,0,113,0,No,Norwegian
Boris Collardi,business,Former CEO of Julius Baer who participated in Epstein-brokered secret merger talks with Edmond de Rothschild bank in 2017.,,0,204,0,No,Swiss
Brad Karp,legal,Paul Weiss chairman connected to Epstein legal matters,Brad S. Karp,0,1684,0,No,American
Brad Nowell,associate,"Lead singer of Sublime, deceased musician.",,0,4,0,No,
Brad Wechsler,business,IMAX co-founder; managed Leon Black's family office.,Bradley Wechsler; Bradley J. Wechsler,0,5143,0,No,
Bradley Gillin,business,"Deutsche Bank VP; processed Epstein's KYC remediation, FinCEN filings, and wire transfers.",,0,2793,0,No,American
Bradley T Gross,associate,Forwarded correspondence to Bureau of Prisons Acting Director Hugh Hurwitz; connected to federal communications surrounding Epstein's 2019 MCC detention.,Gross; Bradley Gross,0,2702,0,No,
Bran Ferren,business,"Artist, former Disney executive.",,0,76,0,No,
Brendan Henry,associate,Paralegal identified in deposition testimony from the civil case 1:20-cv-00338 as a member of the legal team working on Epstein-related proceedings. Witness testimony from the Brune deposition names Brendan Henry alongside attorneys and other paralegals including Melissa Desori and David Elbaum as participants in the legal work on the matter.,,0,654,0,No,
Brent Tindall,associate,Epstein's personal chef with extensive household access,Chef Tindall,0,94,0,No,American
Brian Basham,associate,Maxwell's PR strategist who launched Operation GGO and is named in court privilege logs,Broad Street Group,0,72,0,No,British
Brian F. Egolf,associate,Oil and gas executive.,Egolf; Brian Egolf,0,3,0,No,
Brian Roberts,business,Comcast CEO listed in Epstein's black book.,,0,121,0,Yes,American
Brian Vickers,celebrity,Former NASCAR driver; married Epstein co-conspirator Sarah Kellen; direct emails with Epstein in EFTA files.,Brian L. Vickers,0,303,0,No,American
Brice Gordon,associate,Epstein household staff member,,0,11528,0,No,American
Brigid Macias,business,Deutsche Bank AVP; processed wire transfers and currency orders for Epstein accounts.,,0,912,0,No,
Bruce A. Green,associate,Professor and expert witness in Giuffre v. Dershowitz.,Green; Bruce Green,0,230,0,No,
Bruce Castor,associate,Former District Attorney who made a promise not to prosecute Cosby.,,0,30,0,No,
Bruce Moskowitz,other,Epstein's Palm Beach physician; received $220K from Epstein; co-founded Moskowitz Foundation.,,0,1592,0,No,
Bruce Springsteen,celebrity,"Rock musician (""The Boss""); on DOJ 305 list; 1 doc and 3 emails in files as indirect social references only.",Springsteen; The Boss,0,245,0,No,American
Bruce Willis,celebrity,"Actor (Die Hard, Pulp Fiction); 2 black book numbers; Sjoberg testified in Giuffre v. Maxwell that Epstein name-dropped him but she never met Willis through Epstein; no allegations.",Walter Bruce Willis,0,104,0,Yes,American
Bruno Le Maire,politician,Former French Finance Minister who visited Epstein's New York residence; Epstein's associates attempted to arrange political fundraising through the connection.,Maire; Bruno Maire,0,47,0,No,French
Bryan Bishop,business,Bitcoin developer who pitched Epstein on designer baby venture in 2018.,,0,113,0,No,American
Burt Minkoff,politician,Listed contact in Epstein's black book.,,0,1,0,Yes,American
Byron Elrod,associate,Person with whom the missing juvenile was allegedly associating.,,0,4,0,No,
C. Edge,associate,"Unclear, possibly a staff member or investigator.",,0,300,0,No,
C. Iali,associate,Visitor to Jeffrey Epstein.,,0,22,0,No,
CLAUDIUS ENGLISH,associate,"Defendant charged in multiple federal indictments filed in the Southern District of New York between 2013 and 2018 with sex trafficking of minors, attempted sex trafficking, kidnapping a minor victim while armed, and recruiting and enticing minors. His case files appear in the DOJ document release alongside Epstein-related prosecutorial records from the same era and jurisdiction.",,0,1275,0,No,
CMC (Case Management Coordinator),associate,Notified next of kin and handled various tasks related to Epstein's death.,Coordinator); CMC Coordinator),0,6,0,No,
Cameron Diaz,celebrity,Actress; name-dropped by Epstein per Johanna Sjoberg deposition testimony (January 2024 unsealing); Sjoberg stated she never met Diaz through Epstein; Diaz denies any association or meeting with Epstein.,Cameron Michelle Diaz,0,147,0,No,American
Camilla Reksten-Monsen,associate,"IPI Chief of Staff who served as the primary liaison between Terje Rod-Larsen and Jeffrey Epstein, transmitting sensitive institutional documents and coordinating meetings over nearly a decade.",Camilla Reksten Monsen; C. Reksten-Monsen; Camilla Reksten; Camilla Monsen,0,357,0,No,Norwegian
Camille S. Biros,associate,Claims administration expert and partner to Ms. Feldman.,Biros; Camille Biros,0,50,0,No,
Canning Fok,business,Li Ka-Shing's right hand; Hong Kong executive; financial dealings with Epstein.,,0,50,0,No,Chinese (Hong Kong)
Carl Icahn,business,Billionaire investor listed in Epstein's black book.,,0,144,0,Yes,American
Carl Roderfer,associate,Pilot,,0,2,0,No,
Carl Sputh,associate,Captain of Epstein's 178-foot Benetti superyacht Starfire (valued at $26M). Previously captained the same vessel unde...,Captain Sputh; Captain Carl Sputh; Capt. Carl Sputh,0,3,0,No,American
Carla Bruni,celebrity,"French model, singer, and former First Lady of France (wife of Sarkozy); listed in Epstein's black book.",Carla Bruni-Sarkozy,0,30,0,Yes,Italian-French
Carlo Pirzio-Birch,business,Permanent voting member referenced in Epstein entity governance documents.,Carlo Pirzio-Biroli,0,0,0,No,
Carlos Gallegos Jr.,associate,Santa Fe businessman and donor.,Carlos Jr.; Carlos Gallegos,0,3,0,No,
Carlos Rodriquez,associate,Head boat captain,,0,105,0,No,
Carlos Slim,business,Mexican billionaire telecom magnate listed in Epstein's black book; no direct correspondence found.,Carlos Slim Helu,0,282,0,Yes,Mexican
Carly Simon,celebrity,Singer-songwriter; 3 black book numbers; Vineyard resident; sister Joanna also listed; no allegations.,,0,275,0,Yes,American
Carmen Rodgers,associate,Housekeeper,,0,435,0,No,
Carol Alt,celebrity,Supermodel and actress (700+ magazine covers); listed in Epstein's black book.,,0,65,0,Yes,American
Caroline Kitidis,business,Deutsche Bank Head of Key Client Partners; visited Epstein's mansion during client courtship in 2013.,,0,980,0,No,American
Carrie Yackee,associate,Sender of emails and faxes.,,0,6,0,No,
Casey Tegreene,business,"Intellectual Ventures patent chief; in EFTA email thread with Walker, Gates.",,0,15,0,No,American
Cassandra Macdonald,other,"Formerly Cassandra Fairbanks, American journalist, has worked for Russian state-owned news agency Sputnik (2015-2017)...",,0,6,0,No,
Catherine Conrad/Rosa,associate,Individual with multiple criminal records.,,0,3,0,No,
Catherine Morgan Conrad,associate,Person who authored a note that became Court Exhibit 3.,Conrad; Catherine Conrad,0,143,0,No,
Catherine O'Hagan Wolfe,legal,"Clerk of the U.S. Court of Appeals, Second Circuit (Epstein appeals)",Catherine O'Hagan Wolfe,0,27,0,No,American
Catherine Reynolds,socialite,DC philanthropist whose Academy of Achievement summits overlapped with Epstein's elite networking,Catherine B. Reynolds; Catherine B Reynolds Foundation,0,26,0,No,American
